ticker,company,indus
THANGAMAYL.NS,Thangamayil Jewellery Limited,Consumer Cyclical
THOMASCOOK.NS,Thomas Cook (India) Limited ,Consumer Cyclical
TIINDIA.NS,Tube Investments of India Limited,Consumer Cyclical
TIMETECHNO.NS,Time Technoplast Limited,Consumer Cyclical
TITAN.NS,Titan Company Limited,Consumer Cyclical
TMRVL.NS,The Mandhana Retail Ventures Limited,Consumer Cyclical
TOKYOPLAST.NS,Tokyo Plast International Limited,Consumer Cyclical
TRENT.NS,Westside,Consumer Cyclical
TRIDENT.NS,Trident Limited,Consumer Cyclical
TTKPRESTIG.NS,TTK Prestige Limited,Consumer Cyclical
TVSMOTOR.NS,TVS Motor Company Limited,Consumer Cyclical
TVSSRICHAK.NS,TVS,Consumer Cyclical
UCALFUEL.NS,Ucal Fuel Systems Limited,Consumer Cyclical
UFLEX.NS,Uflex Limited,Consumer Cyclical
VAIBHAVGBL.NS,Vaibhav Global Limited,Consumer Cyclical
VARDHACRLC.NS,Vardhman Acrylics Limited,Consumer Cyclical
VARDMNPOLY.NS,Vardhman Polytex Limited,Consumer Cyclical
VARROC.NS,Varroc Engineering Limited,Consumer Cyclical
VICEROY.NS,Hotels Limited,Consumer Cyclical
VIDEOIND.NS,Videocon Industries Limited,Consumer Cyclical
VIPCLOTHNG.NS,VIP Clothing Limited,Consumer Cyclical
VIPIND.NS,VIP Industries Limited,Consumer Cyclical
VISHAL.NS,Vishal Fabrics Limited,Consumer Cyclical
VIVIDHA.NS,Visagar Polytex Limited,Consumer Cyclical
VMART.NS,V-Mart Retail Limited,Consumer Cyclical
VTL.NS,Vardhman Textiles Limited,Consumer Cyclical
WABCOINDIA.NS,WABCO India Limited,Consumer Cyclical
WEIZMANIND.NS,Weizmann Limited,Consumer Cyclical
WELSPUNIND.NS,Welspun India Limited,Consumer Cyclical
WESTLIFE.NS,Westlife Development Limited,Consumer Cyclical
WHEELS.NS,Wheels India Limited,Consumer Cyclical
WONDERLA.NS,Wonderla Holidays Limited,Consumer Cyclical
WORTH.NS,Worth Peripherals Limited,Consumer Cyclical
ZENITHEXPO.NS,Zenith Exports Limited,Consumer Cyclical
ZODIACLOTH.NS,Zodiac Clothing Company Limited,Consumer Cyclical
ZODJRDMKJ.NS,Zodiac-JRD-MKJ Limited,Consumer Cyclical
ADANIGREEN.NS,Adani Green Energy Limited,Utilities
ADANIPOWER.NS,Adani Power Limited,Utilities
ADANITRANS.NS,Adani Transmission Limited,Utilities
ATGL.NS,Adani Total Gas Limited,Utilities
BAJAJELEC.NS,Bajaj Electricals Limited,Utilities
CESC.NS,CESC Limited,Utilities
DPSCLTD.NS,India Power Corporation Limited,Utilities
ENERGYDEV.NS,Energy Development Company Limited,Utilities
GAIL.NS,Limited,Utilities
GIPCL.NS,Gujarat Industries Power Company Limited,Utilities
GREENPOWER.NS,Orient Green Power Company Limited,Utilities
GSPL.NS,Gujarat State Petronet Limited,Utilities
GUJGASLTD.NS,Gujarat Gas Limited,Utilities
IGL.NS,Indraprastha Gas Limited,Utilities
INDOWIND.NS,Indowind Energy Limited,Utilities
JPPOWER.NS,Jaiprakash Power Ventures Limited,Utilities
JSWENERGY.NS,JSW Energy Limited,Utilities
KARMAENG.NS,Karma Energy Limited,Utilities
MGL.NS,Mahanagar Gas Limited,Utilities
NBVENTURES.NS,Nava Bharat Ventures Limited,Utilities
NHPC.NS,NHPC Limited,Utilities
NLCINDIA.NS,NLC India Limited,Utilities
NTPC.NS,NTPC Limited,Utilities
POWERGRID.NS,Power Grid Corporation of India Limited,Utilities
PTC.NS,PTC India Limited,Utilities
RELINFRA.NS,Reliance Infrastructure Limited,Utilities
RPOWER.NS,Reliance Power Limited,Utilities
RTNINFRA.NS,RattanIndia Infrastructure Limited,Utilities
RTNPOWER.NS,RattanIndia Power Limited,Utilities
SJVN.NS,SJVN Limited,Utilities
SURANAT&P.NS,Surana Telecom,Utilities
TATAPOWER.NS,The Tata Power Company Limited,Utilities
TORNTPOWER.NS,Torrent Power Limited,Utilities
ADFFOODS.NS,ADF Foods Limited,Consumer Defensive
AGRITECH.NS,Agri-Tech (India) Limited,Consumer Defensive
ANIKINDS.NS,Anik Industries Limited,Consumer Defensive
APEX.NS,Apex Frozen Foods Limited,Consumer Defensive
APTECHT.NS,Aptech Limited,Consumer Defensive
ASALCBR.NS,Associated Alcohols & Breweries Limited,Consumer Defensive
ASPINWALL.NS,Aspinwall and Company Limited,Consumer Defensive
ATFL.NS,Agro Tech Foods Limited,Consumer Defensive
AVADHSUGAR.NS,Avadh Sugar & Energy Limited,Consumer Defensive
AVANTIFEED.NS,Avanti Feeds Limited,Consumer Defensive
BAJAJCON.NS,Bajaj Consumer Care Limited,Consumer Defensive
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,Consumer Defensive
BALRAMCHIN.NS,Balrampur Chini Mills Limited,Consumer Defensive
BANARISUG.NS,Bannari Amman Sugars Limited,Consumer Defensive
BRITANNIA.NS,Britannia Industries Limited,Consumer Defensive
CAREERP.NS,Career Point Limited,Consumer Defensive
CCL.NS,CCL Products,Consumer Defensive
CLEDUCATE.NS,CL Educate Limited,Consumer Defensive
COLPAL.NS,Colgate-Palmolive,Consumer Defensive
COMPUSOFT.NS,Compucom Software Limited,Consumer Defensive
CUPID.NS,Cupid Limited,Consumer Defensive
DAAWAT.NS,LT Foods Limited,Consumer Defensive
DABUR.NS,Dabur India Limited,Consumer Defensive
DALMIASUG.NS,Industries Limited,Consumer Defensive
DFMFOODS.NS,DFM Foods Limited,Consumer Defensive
DHARSUGAR.NS,Dharani Sugars and Chemicals Limited,Consumer Defensive
DIAMONDYD.NS,Prataap Snacks Limited,Consumer Defensive
DMART.NS,Avenue Supermarts Limited,Consumer Defensive
DTIL.NS,Dhunseri Tea & Industries Limited,Consumer Defensive
DWARKESH.NS,Dwarikesh Sugar Industries Limited,Consumer Defensive
EDUCOMP.NS,Educomp Solutions Limited,Consumer Defensive
EMAMILTD.NS,Emami Limited,Consumer Defensive
FCONSUMER.NS,Consumer Limited,Consumer Defensive
GAEL.NS,Gujarat Ambuja Exports Limited,Consumer Defensive
GANGESSECU.NS,Ganges Securities Limited,Consumer Defensive
GILLETTE.NS,Gillette India Limited,Consumer Defensive
GLOBAL.NS,Global Education Limited,Consumer Defensive
GLOBUSSPR.NS,Globus Spirits Limited,Consumer Defensive
GODFRYPHLP.NS,Godfrey Phillips India Limited,Consumer Defensive
GODREJAGRO.NS,"Godrej Agrovet Limited, an agri-business company, ",Consumer Defensive
GODREJCP.NS,Godrej Consumer Products Limited,Consumer Defensive
GOKUL.NS,Gokul Refoils & Solvent Limited,Consumer Defensive
GOKULAGRO.NS,Gokul Agro Resources Limited,Consumer Defensive
GOLDENTOBC.NS,Golden Tobacco Limited,Consumer Defensive
GROBTEA.NS,The Grob Tea Company Limited,Consumer Defensive
HARRMALAYA.NS,Harrisons Malayalam Limited,Consumer Defensive
HATSUN.NS,Hatsun Agro Product Limited,Consumer Defensive
HERITGFOOD.NS,Heritage Foods Limited,Consumer Defensive
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive
HNDFDS.NS,Hindustan Foods Limited,Consumer Defensive
IFBAGRO.NS,IFB Agro Industries Limited,Consumer Defensive
ITC.NS,ITC Limited,Consumer Defensive
JAYSREETEA.NS,Jay Shree Tea & Industries Limited,Consumer Defensive
JHS.NS,JHS Svendgaard Laboratories Limited,Consumer Defensive
JYOTHYLAB.NS,Jyothy Labs Limited,Consumer Defensive
KAYA.NS,Kaya Limited,Consumer Defensive
KEERTI.NS,Keerti Knowledge and Skills Limited ,Consumer Defensive
KGL.NS,Karuturi Global Limited,Consumer Defensive
KOTARISUG.NS,Kothari Sugars and Chemicals Limited,Consumer Defensive
KRBL.NS,KRBL Limited,Consumer Defensive
KSCL.NS,Kaveri Seed Company Limited,Consumer Defensive
KWALITY.NS,Kwality Limited,Consumer Defensive
MAGADSUGAR.NS,Magadh Sugar & Energy Limited,Consumer Defensive
MAWANASUG.NS,Mawana Sugars Limited,Consumer Defensive
MCDOWELL-N.NS,United Spirits Limited,Consumer Defensive
MCLEODRUSS.NS,McLeod Russel India Limited,Consumer Defensive
MGEL.NS,Mangalam Global Enterprise Limited,Consumer Defensive
MTEDUCARE.NS,MT Educare Limited,Consumer Defensive
NIITLTD.NS,NIIT Limited,Consumer Defensive
NORBTEAEXP.NS,Norben Tea & Exports Limited,Consumer Defensive
PALASHSECU.NS,Palash Securities Limited,Consumer Defensive
PARAGMILK.NS,Parag Milk Foods Limited,Consumer Defensive
PGHH.NS,Procter & Gamble Hygiene and,Consumer Defensive
PIONDIST.NS,Pioneer Distilleries Limited,Consumer Defensive
PKTEA.NS,The Peria Karamalai Tea and Produce Company Limited,Consumer Defensive
PONNIERODE.NS,Ponni,Consumer Defensive
PRABHAT.NS,Prabhat Dairy Limited,Consumer Defensive
RADICO.NS,Radico Khaitan Limited,Consumer Defensive
RAJSREESUG.NS,Rajshree Sugars and Chemicals Limited,Consumer Defensive
RENUKA.NS,Shree Renuka Sugars Limited,Consumer Defensive
ROSSELLIND.NS,Rossell India Limited,Consumer Defensive
RUCHI.NS,Ruchi Soya Industries Limited,Consumer Defensive
RUCHINFRA.NS,Ruchi Infrastructure Limited,Consumer Defensive
SAKHTISUG.NS,Sakthi Sugars Limited,Consumer Defensive
SAKUMA.NS,Sakuma Exports Limited,Consumer Defensive
SANWARIA.NS,Sanwaria Consumer Limited,Consumer Defensive
SDBL.NS,Som Distilleries & Breweries Limited,Consumer Defensive
SIMBHALS.NS,Simbhaoli Sugars Limited,Consumer Defensive
SKMEGGPROD.NS,SKM Egg Products Export (India,Consumer Defensive
STEL.NS,STEL Holdings Limited,Consumer Defensive
TASTYBITE.NS,Tasty Bite,Consumer Defensive
TATACOFFEE.NS,Tata Coffee Limited,Consumer Defensive
TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive
TI.NS,Tilaknagar Industries Ltd,Consumer Defensive
TREEHOUSE.NS,Tree House Education & Accessories Limited,Consumer Defensive
TRIVENI.NS,Triveni Engineering & Industries Limited,Consumer Defensive
UBL.NS,United Breweries Limited,Consumer Defensive
UGARSUGAR.NS,The Ugar Sugar Works Limited,Consumer Defensive
UMANGDAIRY.NS,Umang Dairies Limited,Consumer Defensive
UMESLTD.NS,Usha Martin Education & Solutions Limited,Consumer Defensive
UNITEDTEA.NS,The United Nilgiri Tea Estates Company Limited,Consumer Defensive
UTTAMSUGAR.NS,Uttam Sugar Mills Limited,Consumer Defensive
VADILALIND.NS,Vadilal Industries Limited,Consumer Defensive
VBL.NS,Varun Beverages Limited,Consumer Defensive
VENKEYS.NS,Venky,Consumer Defensive
VISHWARAJ.NS,Vishwaraj Sugar Industries Limited,Consumer Defensive
VSTIND.NS,VST Industries Limited,Consumer Defensive
ZYDUSWELL.NS,Zydus Wellness Limited,Consumer Defensive
AFFLE.NS,"Affle (India) Limited, a technology company, ",Communication Services
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services
CINEVISTA.NS,Cinevista Limited,Communication Services
CREATIVEYE.NS,Creative Eye Limited,Communication Services
CYBERMEDIA.NS,Cyber Media (India,Communication Services
DEN.NS,DEN Networks Limited,Communication Services
DGCONTENT.NS,Digicontent Limited,Communication Services
DISHTV.NS,Dish TV India Limited,Communication Services
DNAMEDIA.NS,Diligent Media Corporation Limited,Communication Services
DQE.NS,DQ Entertainment (International) Limited,Communication Services
ENIL.NS,Entertainment Network (India) Limited,Communication Services
EROSMEDIA.NS,Eros International Media Limited,Communication Services
GFLLIMITED.NS,GFL Limited,Communication Services
GTL.NS,GTL Limited,Communication Services
GTPL.NS,GTPL Hathway Limited,Communication Services
HATHWAY.NS,Hathway Cable and,Communication Services
HMVL.NS,Hindustan Media Ventures Limited,Communication Services
HTMEDIA.NS,HT Media Limited,Communication Services
IDEA.NS,Vodafone,Communication Services
IMAGICAA.NS,Imagicaaworld Entertainment Limited,Communication Services
INDIAMART.NS,IndiaMART InterMESH Limited,Communication Services
INDUSTOWER.NS,Indus Towers Limited,Communication Services
INOXLEISUR.NS,INOX Leisure Limited,Communication Services
JAGRAN.NS,Jagran Prakashan Limited,Communication Services
JAINSTUDIO.NS,Jain Studios Limited,Communication Services
JUSTDIAL.NS,Dial Limited,Communication Services
MPSLTD.NS,MPS Limited,Communication Services
MTNL.NS,Mahanagar Telephone Nigam Limited,Communication Services
MUKTAARTS.NS,Mukta Arts Limited,Communication Services
NAUKRI.NS,Limited,Communication Services
NAVNETEDUL.NS,Navneet Education Limited,Communication Services
NDTV.NS,New Delhi Television Limited,Communication Services
NETWORK18.NS,Media & Investments Limited,Communication Services
NXTDIGITAL.NS,Nxtdigital Limited,Communication Services
ONMOBILE.NS,OnMobile Global Limited,Communication Services
ORTEL.NS,Ortel Communications Limited,Communication Services
PFOCUS.NS,Focus Limited,Communication Services
PNC.NS,Pritish Nandy Communications Ltd,Communication Services
PRESSMN.NS,Pressman Advertising Limited,Communication Services
PVR.NS,PVR Limited,Communication Services
RADAAN.NS,Radaan Mediaworks India Limited,Communication Services
RADIOCITY.NS,Music Broadcast Limited,Communication Services
RAJTV.NS,Raj Television Network Limited,Communication Services
RCOM.NS,Reliance Communications Limited,Communication Services
ROUTE.NS,Route Mobile Limited,Communication Services
SABEVENTS.NS,SAB Events & Governance Now Media Limited,Communication Services
SAMBHAAV.NS,Sambhaav Media Limited,Communication Services
SAREGAMA.NS,Saregama India Limited,Communication Services
SCHAND.NS,Chand and Company Limited,Communication Services
SHEMAROO.NS,Shemaroo Entertainment Limited,Communication Services
SILLYMONKS.NS,Monks Entertainment Limited,Communication Services
SITINET.NS,SITI Networks Limited,Communication Services
SUNTV.NS,Sun TV Network Limited,Communication Services
TATACOMM.NS,Tata Communications Limited,Communication Services
TIPSINDLTD.NS,Tips Industries Limited,Communication Services
TOUCHWOOD.NS,Touchwood Entertainment Limited,Communication Services
TTML.NS,Tata Teleservices (Maharashtra) Limited,Communication Services
TV18BRDCST.NS,TV18 Broadcast Limited,Communication Services
TVVISION.NS,Vision Limited,Communication Services
UFO.NS,UFO Moviez India Limited,Communication Services
VERTOZ.NS,Vertoz Advertising Limited,Communication Services
ZEEL.NS,Zee Entertainment Enterprises Limited,Communication Services
ZEEMEDIA.NS,Zee Media Corpor ation Limited,Communication Services
AJMERA.NS,Ajmera Realty & Infra India Limited,Real Estate
AMJLAND.NS,AMJ Land Holdings Limited,Real Estate
ANANTRAJ.NS,the National Capital Region,Real Estate
ANSALAPI.NS,Ansal Properties & Infrastructure Limited,Real Estate
ANSALHSG.NS,Ansal Housing Limited,Real Estate
ARIHANT.NS,Arihant Foundations & Housing Limited,Real Estate
ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate
ASHIANA.NS,Ashiana Housing Limited,Real Estate
BHAGYAPROP.NS,Bhagyanagar Properties Limited,Real Estate
BOMDYEING.NS,The Bombay Dyeing and Manufacturing Company Limited,Real Estate
BRIGADE.NS,Brigade Enterprises Limited,Real Estate
BSELINFRA.NS,BSEL Infrastructure Realty Limited,Real Estate
CINELINE.NS,Cineline India Limited,Real Estate
COUNCODOS.NS,Country Condo's,Real Estate
DBREALTY.NS,D B Realty Limited,Real Estate
DLF.NS,DLF Limited,Real Estate
EMAMIREAL.NS,Emami Realty Limited,Real Estate
GANESHHOUC.NS,Ganesh Housing Corporation Limited,Real Estate
GEECEE.NS,Geecee Ventures Limited,Real Estate
GODREJPROP.NS,Godrej Properties Limited,Real Estate
HDIL.NS,Housing Development and Infrastructure Limited,Real Estate
HEMIPROP.NS,Hemisphere Properties India Limited,Real Estate
IBREALEST.NS,Indiabulls Real Estate Limited,Real Estate
KARDA.NS,Karda Constructions Limited,Real Estate
KOLTEPATIL.NS,Kolte-Patil Developers Limited,Real Estate
LPDC.NS,Landmark Property Development Company Limited,Real Estate
MAHLIFE.NS,Mahindra Lifespace Developers Limited,Real Estate
MARATHON.NS,Marathon Nextgen Realty Limited,Real Estate
MODIRUBBER.NS,"Modi Rubber Limited, together with its subsidiaries, ",Real Estate
MOTOGENFIN.NS,The Motor & General Finance Limited,Real Estate
NILAINFRA.NS,Nila Infrastructures Limited,Real Estate
NILASPACES.NS,Nila Spaces Limited,Real Estate
OBEROIRLTY.NS,Oberoi Realty Limited,Real Estate
OMAXE.NS,Omaxe Limited,Real Estate
OSWALAGRO.NS,Oswal Agro Mills Limited,Real Estate
PARSVNATH.NS,Parsvnath Developers Limited,Real Estate
PENINLAND.NS,Peninsula Land Limited,Real Estate
PHOENIXLTD.NS,The Phoenix Mills Limited,Real Estate
PODDARHOUS.NS,Poddar Housing and Development Limited,Real Estate
PRAENG.NS,Prajay Engineers Syndicate Limited,Real Estate
PRESTIGE.NS,Prestige Estates Projects Limited,Real Estate
PTL.NS,PTL Enterprises Limited,Real Estate
RVHL.NS,Ravinder Heights Limited,Real Estate
SUNTECK.NS,Sunteck Realty Limited,Real Estate
TCIDEVELOP.NS,TCI Developers Limited,Real Estate
TECHIN.NS,Techindia Nirman Limited,Real Estate
TEXINFRA.NS,Texmaco Infrastructure & Holdings Limited,Real Estate
UNITECH.NS,Unitech Limited,Real Estate
ARTEMISMED.NS,Artemis Medicare Services Limited,
EMAMIPAP.NS,Emami Paper Mills Limited,
GUJRAFFIA.NS,Gujarat Raffia Industries Limited,
SUBCAPCITY.NS,International Constructions Limited,
